time,model_output_L,model_output_R,net_torque_L,net_torque_R,bio_torque_L,bio_torque_R,scaled_torque_L,scaled_torque_R,delayed_torque_L,delayed_torque_R,filtered_torque_L,filtered_torque_R,applied_torque_L,applied_torque_R,mtr_cmd_L,mtr_cmd_R,actual_torque_L,actual_torque_R,gpio_output
0.014124870300292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0
0.020002126693725586,0.08759992,0.08759992,6.307194,6.307194,6.307194,6.307194,1.2614388,1.2614388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0
0.030002593994140625,0.08441232,0.084564105,6.0776873,6.0886154,6.0776873,6.0886154,1.2155374,1.2177231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.06,0
0.04000282287597656,0.08259083,0.08198367,5.94654,5.9028244,5.94654,5.9028244,1.189308,1.1805649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.02,0
0.050002098083496094,0.081528306,0.07955502,5.870038,5.7279615,5.870038,5.7279615,1.1740077,1.1455923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.04,0
0.060003042221069336,0.07970682,0.07788533,5.7388906,5.6077437,5.7388906,5.6077437,1.1477782,1.1215488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0
0.07000207901000977,0.077429965,0.07591206,5.5749574,5.465668,5.5749574,5.465668,1.1149915,1.0931337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.0,0
0.0800020694732666,0.074849516,0.07409057,5.389165,5.3345213,5.389165,5.3345213,1.077833,1.0669043,1.2614388,1.2614388,0.085090704,0.085090704,0.085090704,0.085090704,0.085090704,0.085090704,-0.02,-0.0,0
0.09000182151794434,0.07302803,0.072117284,5.258018,5.1924443,5.1729274,5.1073537,1.0345855,1.0214708,1.2155374,1.2177231,0.34943283,0.34958026,0.34943283,0.34958026,0.34943283,0.34958026,0.05,-0.05,0
0.10000348091125488,0.07363519,0.07166192,5.301734,5.1596584,4.952301,4.810078,0.9904602,0.9620156,1.189308,1.1805649,0.69357395,0.6934476,0.69357395,0.6934476,0.69357395,0.6934476,-0.21,0.16,0
0.11000180244445801,0.073179826,0.07059939,5.2689476,5.083156,4.5753736,4.3897085,0.91507477,0.8779417,1.1740077,1.1455923,0.9701327,0.9669785,0.9701327,0.9669785,0.9701327,0.9669785,0.61,0.54,0
0.12000393867492676,0.07257266,0.070447594,5.2252316,5.0722265,4.255099,4.105248,0.8510198,0.82104963,1.1477782,1.1215488,1.1385691,1.1288235,1.1385691,1.1288235,1.1385691,1.1288235,1.21,-1.1500000000000001,0
0.13000202178955078,0.066956416,0.073179826,4.820862,5.2689476,3.6822927,4.1401243,0.73645854,0.82802486,1.1149915,1.0931337,1.2101424,1.1933756,1.2101424,1.1933756,1.2101424,1.1933756,1.53,-1.7,0
0.14000320434570312,0.06680462,0.07333161,4.8099327,5.2798758,3.5997903,4.0865,0.71995807,0.8173,1.077833,1.0669043,1.2137194,1.1931229,1.2137194,1.1931229,1.2137194,1.1931229,1.98,-2.0100000000000002,0
0.15000152587890625,0.07059939,0.07135834,5.083156,5.1378,3.8694367,3.9446774,0.77388734,0.7889355,1.0345855,1.0214708,1.1781203,1.1576667,1.1781203,1.1576667,1.1781203,1.1576667,2.18,-2.2,0
0.1600043773651123,0.07302803,0.07378699,5.258018,5.312663,4.079898,4.1549964,0.8159796,0.8309993,0.9904602,0.9620156,1.1246369,1.105336,1.1246369,1.105336,1.1246369,1.105336,2.1,-2.11,0
0.17000150680541992,0.07348341,0.07393877,5.2908053,5.3235917,4.166168,4.218256,0.83323365,0.84365124,0.91507477,0.8779417,1.0642465,1.0434022,1.0642465,1.0434022,1.0642465,1.0434022,2.05,-2.02,0
0.18000459671020508,0.07302803,0.070751175,5.258018,5.0940847,4.1937714,4.0506825,0.8387543,0.8101365,0.8510198,0.82104963,0.9998319,0.9750247,0.9998319,0.9750247,0.9998319,0.9750247,1.97,-1.96,0
0.1900017261505127,0.07029581,0.0639206,5.0612984,4.6022835,4.061466,3.6272588,0.81229323,0.72545177,0.73645854,0.82802486,0.9296819,0.90956086,0.9296819,0.90956086,0.9296819,0.90956086,1.8,1.8800000000000001,0
0.20000362396240234,0.06467956,0.061340168,4.6569285,4.416492,3.7272468,3.506931,0.74544936,0.7013862,0.71995807,0.8173,0.85520285,0.8593432,0.85520285,0.8593432,0.85520285,0.8593432,1.75,-1.6500000000000001,0
0.21000218391418457,0.06270628,0.047830805,4.514852,3.443818,3.6596491,2.584475,0.73192984,0.516895,0.77388734,0.7889355,0.79271674,0.8260792,0.79271674,0.8260792,0.79271674,0.8260792,1.54,1.61,0
0.22000408172607422,0.059974045,0.038343906,4.3181314,2.7607613,3.5254147,1.9346821,0.70508295,0.38693643,0.8159796,0.8309993,0.7610433,0.8070764,0.7610433,0.8070764,0.7610433,0.8070764,1.47,-1.49,0
0.23000216484069824,0.060429424,0.025821187,4.350919,1.8591254,3.5898755,1.0520489,0.7179751,0.21040979,0.83323365,0.84365124,0.76111597,0.80370295,0.76111597,0.80370295,0.76111597,0.80370295,1.29,-1.46,0
0.2400040626525879,0.061036587,0.025214024,4.3946342,1.8154097,3.6335182,1.0117067,0.72670364,0.20234135,0.8387543,0.8101365,0.77981335,0.8099751,0.77981335,0.8099751,0.77981335,0.8099751,1.35,-1.43,0
0.2500021457672119,0.05982226,0.029919535,4.307203,2.1542065,3.5273895,1.3442314,0.7054779,0.26884627,0.81229323,0.72545177,0.8012779,0.80915606,0.8012779,0.80915606,0.8012779,0.80915606,-1.32,-1.42,0
0.26000308990478516,0.05951868,0.027490884,4.285345,1.9793437,3.4840672,1.1701876,0.69681346,0.23403752,0.74544936,0.7013862,0.8103866,0.7903219,0.8103866,0.7903219,0.8103866,0.7903219,-1.36,-1.42,0
0.2700023651123047,0.055344433,0.02673193,3.9847991,1.9246991,3.1744125,1.1343772,0.6348825,0.22687545,0.73192984,0.516895,0.8002222,0.7477288,0.8002222,0.7477288,0.8002222,0.7477288,1.37,-1.42,0
